SOI,lambda,sub_rate,P_rail,density_ratio,validity_eff_nox
0.25259122,0.7867824,0.091411695,0.48368296,0.0021315228055016813,1.0
0.5799639,0.4345816,0.8355259,0.8237744,0.06065522948103158,1.0
0.18242754,0.7044342,0.165298,0.97535205,0.00006598313776089637,1.0
0.33134755,0.32268378,0.20321257,0.94545084,0.00029058034694511004,1.0
0.2855686,0.614374,0.53863937,0.37848726,0.03595060218349233,1.0
0.7142633,0.6941136,0.24407895,0.51749635,0.001654858505479546,1.0
0.29847974,0.5872001,0.7266855,0.8411626,0.18828036760439426,1.0
0.48950586,0.65688413,0.06892794,0.09815801,4.8634598303287415e-8,1.0
0.63494444,0.4227194,0.24366587,0.95782703,0.00009805265724298866,1.0
0.5986861,0.7792573,0.36398533,0.9991728,0.001004697557829141,1.0
0.38514346,0.72462773,0.9668464,0.9343992,0.030813845916524533,1.0
0.85788035,0.4216351,0.63804156,0.5520045,0.014018481002425824,1.0
0.4282279,0.99568903,0.67931235,0.1982946,0.010097756479295611,1.0
0.24061216,0.5203591,0.58998924,0.5687909,0.14976109686250394,1.0
0.9744749,0.93083626,0.5738341,0.1501637,8.100659318029583e-7,1.0
0.76401085,0.83844405,0.44116092,0.49600968,0.005972736559491194,1.0
0.3058584,0.19655176,0.010607427,0.24891995,3.0868117430619128e-6,1.0
0.43224466,0.65356624,0.13553068,0.6988493,0.07638443490492886,1.0
0.25381908,0.7050929,0.34795535,0.9857671,0.0009855921742825604,1.0
0.5377079,0.8655098,0.9784136,0.1575067,0.0023896165415517546,1.0
0.7639159,0.55475634,0.5681564,0.7543624,0.0600957257765753,1.0
0.66435087,0.4853298,0.3362371,0.5139419,0.0025673088067149235,1.0
0.7756334,0.41146046,0.69566154,0.9491555,0.0009022371591382657,1.0
0.96251744,0.04323137,0.976148,0.48249522,3.245359953402211e-7,0.34800512422246765
0.32909045,0.28041288,0.8951497,0.04765941,0.000831589170159178,1.0
0.7385012,0.9774686,0.913895,0.70560145,0.04509652689707936,1.0
0.6790827,0.95336914,0.1468225,0.46466115,0.0001865721962313107,1.0
0.010808397,0.8679752,0.85607255,0.8835518,0.008791753784795091,1.0
0.97669244,0.28740153,0.75099266,0.26872197,5.806513625088327e-7,1.0
0.023296967,0.12736623,0.8820182,0.9083796,0.000027514265070683008,0.5697417486085083
0.4695225,0.46023858,0.83109665,0.8482793,0.10447260484023121,1.0
0.97303677,0.146218,0.3121332,0.1438859,6.514464131056132e-12,1.0
0.6102676,0.8905599,0.2974469,0.100345895,0.000022971659534159383,1.0
0.76803017,0.87001544,0.15971178,0.84926623,0.00012536895681542593,1.0
0.94525003,0.4126535,0.33287612,0.67095906,0.0001367956289095221,1.0
0.43622264,0.3485103,0.19401446,0.583535,0.015516284322086845,1.0
0.55902207,0.69358844,0.27120632,0.23291518,0.00006483609989368893,1.0
0.37244454,0.9561979,0.7450753,0.73217744,0.49226992528432534,1.0
0.53596306,0.2036273,0.9719513,0.030890718,0.000026612224186066445,1.0
0.110324696,0.56228673,0.37322628,0.55313456,0.005145355003553634,1.0
0.86026055,0.7381991,0.024951037,0.6127655,0.0001249981044694066,1.0
0.51437813,0.037141874,0.6089955,0.41948536,0.012442064805879258,0.6901463355588507
0.08032271,0.1639704,0.5825986,0.68710434,0.003294982757452097,0.9049386745347517
0.48032838,0.46976236,0.23814721,0.87565196,0.0043840008414582085,1.0
0.048146654,0.42670107,0.34940967,0.9906031,9.934132808161883e-6,1.0
0.07772517,0.7731134,0.3398124,0.7259152,0.003816232737692096,1.0
0.60065806,0.8502824,0.54019254,0.71300125,0.2051348041251409,1.0
0.012703638,0.49659204,0.19986318,0.46642512,0.000025484809337300607,1.0
0.3940024,0.71029913,0.5344048,0.5506076,0.30432329972474326,1.0
0.4850847,0.04450308,0.73686564,0.93363464,0.014613550461602547,0.33858640349609814
0.7509328,0.15479802,0.76898235,0.48954672,0.0025053875531520055,0.4572619393078604
0.8533655,0.60665673,0.66857964,0.2040408,0.000130401492647658,1.0
0.75624806,0.37145916,0.27971545,0.788103,0.00013853059734234333,1.0
0.8377649,0.54367465,0.84409094,0.49347046,0.014217100492413632,1.0
0.54225767,0.42840925,0.6403466,0.63670063,0.2719905929987739,1.0
0.6847586,0.8586775,0.37684456,0.018125685,0.000138114090195606,1.0
0.8637168,0.68343854,0.89220804,0.5282162,0.03438096895269177,1.0
0.4735616,0.75452375,0.4610053,0.8013254,0.14395805236962425,1.0
0.41718537,0.18409744,0.16221242,0.6398148,0.004245396342103186,1.0
0.5134378,0.1748981,0.098347075,0.91204464,0.00029653824372363817,1.0
0.15848728,0.25256702,0.51496416,0.54004025,0.004078532651614718,1.0
0.683897,0.42595893,0.8217539,0.16993447,0.0008964840482996254,1.0
0.8675449,0.025483912,0.55068743,0.71094906,0.00014899029729518814,0.7976277050091883
0.8958884,0.9766155,0.9359395,0.9513018,0.0005687566630589323,1.0
0.647793,0.22969793,0.07960588,0.52758336,0.0009409045252913692,1.0
0.38499835,0.38288793,0.5271372,0.47099876,0.03077378390741237,1.0
0.8004918,0.3975105,0.11366691,0.045568675,3.805855521736038e-10,1.0
0.69221944,0.5591588,0.14173965,0.2826775,6.494911524226912e-6,1.0
0.6457575,0.98852015,0.48131675,0.53877175,0.01755888731454534,1.0
0.7606693,0.036069617,0.30595142,0.32753924,5.4750725977432664e-8,1.0
0.49128845,0.49784955,0.074952625,0.020861795,3.71434813731477e-8,1.0
0.6140812,0.03999074,0.22581168,0.07996871,1.4650881838728165e-9,1.0
0.21688937,0.46537986,0.17875837,0.21843079,1.6478259747298082e-6,1.0
0.4224098,0.94515055,0.70699525,0.36414662,0.04317579600941332,1.0
0.29238087,0.010837257,0.83222705,0.2881445,0.00017013865948095323,0.4957354469865221
0.029745737,0.049081206,0.8145456,0.46939656,0.00021918194111255062,0.6080236031216589
0.94301534,0.6116385,0.9101868,0.3746816,0.0006062685948206866,1.0
0.9922008,0.071399264,0.83978367,0.35858598,4.8068541029887823e-8,0.6267580687842408
0.21268237,0.9749219,0.92397016,0.13565353,0.00036683078038231363,1.0
0.12098096,0.9238345,0.46227482,0.4402919,0.0018036287273598144,1.0
0.63326144,0.78468287,0.12810998,0.13440616,6.862468779265929e-8,1.0
0.986874,0.3958563,0.9943069,0.9308271,0.000013452751635465139,1.0
0.5904927,0.9580082,0.266996,0.45898342,0.002467780622128331,1.0
0.8290069,0.027415361,0.5428731,0.006102698,6.351981347686132e-9,1.0
0.0041196197,0.065463796,0.09037821,0.14772682,1.8767808086855084e-11,1.0
0.7049495,0.21140543,0.71370524,0.8773364,0.0040985550461220014,0.5543897975188731
0.68516374,0.07398184,0.13240428,0.5887687,0.00003250270108431008,1.0
0.19612612,0.24274634,0.11038923,0.21744646,2.77865893102081e-7,1.0
0.60860384,0.09132238,0.95727426,0.7654331,0.012914374130859814,0.015209620613125535
0.14824158,0.80101657,0.124580726,0.98948544,9.70748891936645e-6,1.0
0.09498753,0.18820398,0.36747977,0.47559205,0.000036872762867377445,1.0
0.07090593,0.47511035,0.017604994,0.20231742,8.656084710578146e-8,1.0
0.8208506,0.19003846,0.79482156,0.17180046,4.808777149337258e-7,0.9984092593895214
0.335141,0.7660874,0.69078785,0.6345302,0.9999999995805275,1.0
0.9352665,0.8641216,0.76962095,0.37148297,0.003984752558474746,1.0
0.039258283,0.88526887,0.20821704,0.42143005,0.000010549506969467298,1.0
0.14189538,0.77109605,0.59413445,0.9062019,0.01954646427976571,1.0
0.16390014,0.1307956,0.9482564,0.94497687,0.00011991166254708187,0.23080748229854967
0.5300208,0.37562287,0.48828068,0.63311243,0.06739590487664089,1.0
0.20760538,0.074680865,0.12739126,0.996419,1.4309970856116733e-6,1.0
0.62759084,0.17039822,0.75206465,0.43253237,0.007937938168148643,0.4751203287353921
0.79980326,0.7296228,0.3286059,0.060868893,4.958587425908807e-6,1.0
0.9668371,0.48931545,0.23666053,0.4460451,1.5350199545075765e-6,1.0
0.5067564,0.88790107,0.4122465,0.98811895,0.0033662244125575525,1.0
0.09772189,0.6057979,0.7398142,0.58447796,0.17866963757202078,1.0
0.81953156,0.30674055,0.87695485,0.9545185,0.000043936626100951325,0.9137671467875654
0.27704066,0.4823475,0.6895045,0.03988931,0.03821522485329174,1.0
0.52074754,0.28970522,0.7832352,0.43412328,0.020533339473162996,0.7122681355892656
0.98509836,0.78701544,0.21701764,0.486047,5.23151648682687e-6,1.0
0.33292818,0.4738622,0.60569555,0.7434471,0.29878354732481927,1.0
0.80890304,0.9961542,0.42038324,0.19645764,3.867987715791402e-6,1.0
0.5198347,0.7647467,0.9558397,0.17614807,0.006439817301312928,1.0
0.74541575,0.29826486,0.92070395,0.5596287,0.0020977153302257326,0.7553338120235199
0.15959515,0.045239985,0.63722765,0.29779318,0.00006140874520468116,0.7681036994570102
0.18905847,0.07787935,0.5981039,0.26689962,0.000036321082410958334,0.8459873800497052
0.6287355,0.41515353,0.4678205,0.8635864,0.004820445364015874,1.0
0.30955014,0.9267547,0.08128975,0.97314864,0.00003519989746002785,1.0
0.4811254,0.123660676,0.70446914,0.012751593,0.00015494135372768638,1.0
0.6707552,0.25583875,0.85406,0.509112,0.008716575255343653,0.5578868881147528
0.05622264,0.30348232,0.4375094,0.6064702,0.000930390420411296,1.0
0.6774634,0.54856545,0.066868246,0.86687434,0.002819118001927827,1.0
0.8810477,0.31751797,0.5800468,0.96383643,0.000050467494248824454,1.0
0.7324456,0.8447923,0.8417468,0.35496995,0.004608280873149262,1.0
0.35588104,0.18208314,0.94167846,0.9593919,0.0010098125465656774,0.0970362483649056
0.709535,0.57059956,0.7434681,0.30281276,0.006790803814108787,1.0
0.1290114,0.1781817,0.10725839,0.34653124,4.412108387883106e-6,1.0
0.6748471,0.92507935,0.5116586,0.24994989,0.0011465298901389153,1.0
0.7986576,0.66120553,0.42537728,0.27924916,0.00007337834872243151,1.0
0.40720636,0.37078804,0.6330762,0.27556202,0.01845404594299827,1.0
0.622361,0.09299769,0.99800664,0.7347191,0.006339077916354753,0.06270729497299757
0.9939379,0.56154174,0.87887096,0.5058477,0.008008102311512588,1.0
0.5083677,0.4926071,0.16607815,0.5086808,0.01631741748885601,1.0
0.80527383,0.4365389,0.56334007,0.7954003,0.010438887276159376,1.0
0.42952722,0.6790499,0.17265728,0.091822766,3.2359593948760505e-6,1.0
0.093321905,0.501154,0.14495975,0.25955036,7.804625145133378e-7,1.0
0.30610752,0.3782504,0.2770082,0.14246859,0.000018653741378918792,1.0
0.77634,0.9716975,0.87405246,0.7076337,0.06298070380510815,1.0
0.05226149,0.50759685,0.30943817,0.88228023,0.00012168776212833764,1.0
0.043491066,0.35709292,0.087580696,0.35535294,5.84203171776859e-6,1.0
0.36365762,0.36159185,0.26855996,0.8558742,0.0025049309211500545,1.0
0.5919083,0.5813325,0.25034449,0.9013371,0.0020507517597361507,1.0
0.13598023,0.66567343,0.1648022,0.76322186,0.0019665793900863282,1.0
0.33013937,0.05175332,0.35433215,0.9098706,0.0001700670805306945,1.0
0.99572486,0.59186137,0.43071648,0.9533253,0.00013970095103368692,1.0
0.9130897,0.76879746,0.74145794,0.8902986,0.030640420548339667,1.0
0.13204707,0.8393899,0.3487449,0.015374522,0.000025846534369258904,1.0
0.7886795,0.64802384,0.14060032,0.2763146,5.855880807332773e-7,1.0
0.44497678,0.6435999,0.1731249,0.56038976,0.04206848943703645,1.0
0.18355605,0.06406406,0.987146,0.7486778,0.0026125294076238224,0.15935181060595596
0.49445546,0.046510175,0.0963678,0.9416659,0.000014516054347984725,1.0
0.5277558,0.9820873,0.4700761,0.16015668,0.0009518901142576841,1.0
0.6260218,0.985255,0.5702353,0.7082374,0.11248428825633323,1.0
0.1475194,0.91154355,0.9017598,0.30635518,0.0007003616346228563,1.0
0.5187107,0.5927422,0.39141405,0.19959001,0.0017777190995402407,1.0
0.36178115,0.40418395,0.86313945,0.1098323,0.006945548852933485,1.0
0.1429925,0.91866386,0.73720247,0.23316082,0.00130494469218133,1.0
0.05386167,0.08322567,0.9648843,0.61460996,0.0002957466387578931,0.40936767712515654
0.07300139,0.6718074,0.32784605,0.7515772,0.0027921812657059793,1.0
0.85038036,0.9790671,0.08201918,0.017930359,1.5152685026663808e-11,1.0
0.497862,0.29420927,0.6527294,0.65211517,0.26914667729529146,0.8227539554343689
0.006336547,0.078888156,0.6211675,0.5048236,0.00022821696667228697,0.8716619366827428
0.1265765,0.5294478,0.25549924,0.9773138,0.00003080808226709099,1.0
0.5503473,0.37400797,0.5760006,0.12048354,0.004334729942977748,1.0
0.1069048,0.11927216,0.059023336,0.54468167,0.00010379861474235856,1.0
0.12153879,0.079575226,0.6319486,0.26132774,0.000012109201310728796,0.8328666872319767
0.5256467,0.14321254,0.88316786,0.8921788,0.012032657528070001,0.07700746909215388
0.40258333,0.5236785,0.37025118,0.7491986,0.09296659025983842,1.0
0.8625087,0.61510694,0.9638561,0.22812094,0.000011460592837910485,1.0
0.8039039,0.22584647,0.33046615,0.3199325,1.164421569509882e-7,1.0
0.6899472,0.6649995,0.035563685,0.59422535,0.009385525021346925,1.0
0.81396514,0.64734775,0.29617688,0.065832,1.2484263083857345e-6,1.0
0.22185314,0.3181392,0.23717688,0.005461058,2.042359192210822e-6,1.0
0.2651808,0.9609072,0.5866055,0.9112622,0.015862102043837718,1.0
0.28374255,0.15724768,0.43249583,0.46824974,0.0018637457837775843,1.0
0.24853532,0.21363209,0.023780812,0.21679161,6.187895433902006e-7,1.0
0.7732485,0.4508811,0.789914,0.5108237,0.012451904787081844,1.0
0.90082467,0.6371769,0.5846015,0.2030096,0.000023005293459088055,1.0
0.8938628,0.42034647,0.19055127,0.6656071,0.000016570655475999347,1.0
0.9771249,0.030024404,0.34112713,0.6998077,6.309714204339523e-8,1.0
0.4727792,0.8113439,0.85871094,0.9782653,0.07942439174572917,1.0
0.4034336,0.9334491,0.111171454,0.26528946,3.5517793997669413e-6,1.0
0.65597343,0.95795053,0.66239846,0.6155138,0.21253841938162069,1.0
0.52673984,0.61858135,0.5522421,0.9171734,0.04777152976500184,1.0
0.6164388,0.8496146,0.2397293,0.16347808,3.6068559118709053e-6,1.0
0.84868526,0.6274359,0.73132336,0.6759339,0.23619699360435958,1.0
0.92399895,0.63378775,0.10210549,0.7303537,0.000020813339744676188,1.0
0.18582805,0.54410976,0.89053005,0.3995239,0.00716510493743246,1.0
0.50306445,0.6179405,0.79578483,0.6744142,0.9151539757957073,1.0
0.9328045,0.004320473,0.071785904,0.41790083,4.051882212254975e-10,1.0
0.864793,0.50557727,0.56182384,0.4618653,0.0057143190345855625,1.0
0.6911397,0.06767961,0.37263924,0.57894474,0.0003178193244619228,1.0
0.28164262,0.6727352,0.5753895,0.27379462,0.041486617494357836,1.0
0.5851116,0.79907036,0.40290016,0.8168926,0.04095337868352888,1.0
0.28488466,0.8363804,0.88787806,0.20514762,0.007729718750388375,1.0
0.17524573,0.3841802,0.44747394,0.81000334,0.0051765216753147875,1.0
0.5099558,0.37359872,0.65567607,0.54705137,0.15096676096482983,1.0
0.06442314,0.9411938,0.71682966,0.5200214,0.047741862061807305,1.0
0.80150133,0.81550634,0.82002914,0.55461925,0.12584350403427272,1.0
0.91960245,0.11041525,0.054871947,0.38967893,4.451587007394763e-9,1.0
0.13980679,0.8548967,0.116133854,0.93641067,0.00002080702554760923,1.0
0.41164133,0.9365913,0.7615685,0.72736686,0.6088074522835096,1.0
0.75907326,0.4460672,0.09260851,0.025670737,8.104956225608135e-10,1.0
0.739549,0.95943207,0.66753817,0.98434126,0.003658276972105372,1.0
0.4634456,0.17167929,0.36965427,0.2196214,0.000010468080430817118,1.0
0.30890536,0.9698339,0.33427688,0.5366109,0.01630470829623471,1.0
0.95278543,0.7174373,0.064244464,0.17274258,4.9058708335615797e-11,1.0
0.82717323,0.66307247,0.4084026,0.52433103,0.00445936238179355,1.0
0.85494745,0.41005448,0.22760752,0.6950761,0.000037746379411808165,1.0
0.82442105,0.4179954,0.65696144,0.17531958,0.00004486507171849445,1.0
0.35143733,0.6009735,0.6502565,0.25214785,0.09529565271825295,1.0
0.7875036,0.7095342,0.94699454,0.08521335,0.00019393232473441686,1.0
0.9906693,0.9921212,0.41362694,0.32043493,9.169179720094956e-6,1.0
0.78172964,0.37783942,0.28622508,0.06150341,2.820321228181512e-7,1.0
0.4274635,0.89403456,0.36003643,0.8091444,0.052805040039463874,1.0
0.16481239,0.7504057,0.97412187,0.63162553,0.06374871653835602,1.0
0.3968989,0.62618905,0.7585182,0.21543561,0.09048610913510119,1.0
0.92801785,0.45539278,0.709575,0.46763003,0.005242755719396836,1.0
0.9255824,0.6958816,0.27820525,0.42816228,0.000018662756926574345,1.0
0.2107156,0.5316962,0.21312566,0.77797604,0.006449013316907374,1.0
0.32647955,0.25053632,0.29030988,0.5928366,0.002434711175838677,1.0
0.42633167,0.13862327,0.51238126,0.6439599,0.0961426973911983,0.9487976973957627
0.85953826,0.28547776,0.22078568,0.5188604,2.405572630146033e-6,1.0
0.22881153,0.53565586,0.5099032,0.61805266,0.11262301706156214,1.0
0.678595,0.806191,0.049025584,0.0109192645,9.696394821909267e-10,1.0
0.39234832,0.9841286,0.16136576,0.922571,0.00034403400693506657,1.0
0.91556895,0.1949641,0.3954654,0.98600644,1.2501303549994797e-7,1.0
0.3820413,0.2439596,0.8612942,0.47169822,0.030856419292389616,0.4754635692289325
0.08509701,0.2719549,0.54506415,0.19416252,0.00004841594436430793,1.0
0.8858825,0.54694015,0.7761653,0.08184424,0.00003602330146725866,1.0
0.29746512,0.66808426,0.94043255,0.8606028,0.0674924868789045,1.0
0.16555499,0.6319369,0.87503123,0.024689347,0.004786498669722277,1.0
0.89781064,0.43071395,0.90203565,0.3839057,0.00012405551682555997,1.0
0.7701327,0.6862922,0.96717,0.0740241,0.00020745679917941916,1.0
0.71215785,0.9870566,0.9268731,0.75220424,0.03252096692466666,1.0
0.92745435,0.9014565,0.94710106,0.2000282,2.506854950992711e-6,1.0
0.071295165,0.53351706,0.4545436,0.18161365,0.00011373499302889612,1.0
0.9536384,0.9316085,0.19291025,0.35392258,6.150703511630549e-8,1.0
0.22622013,0.36055392,0.4890693,0.08338778,0.0011908263380593102,1.0
0.16696483,0.029842477,0.88079417,0.85202426,0.002793349770111534,0.3128309154330925
0.3757813,0.96248424,0.6730638,0.7670228,0.33965777326802576,1.0
0.87676364,0.4299509,0.0148463985,0.70293665,0.00009135110384544734,1.0
0.94880486,0.20043144,0.76408756,0.8514628,0.00004489608665453856,0.8957172112294478
0.65637404,0.51679814,0.8641994,0.8073822,0.04493640414189815,1.0
